mission_id,mission_title,sort_order,resource_type,title,source,url,length,language,rationale
,foundation,1,Playlist,Y Combinator — Startup School talks (T),Y Combinator,https://www.youtube.com/@ycombinator/playlists,series,EN,The single best free startup curriculum. Point founders here on day one.
,foundation,2,Article,The latest Startup School talks are now available to all,Y Combinator,https://www.ycombinator.com/blog/startup-school-videos,index,EN,Index page for the full talk library — useful as a Resources-page anchor link.
,foundation,3,Video,The Lean Startup | Eric Ries | Talks at Google (T),Talks at Google,https://www.youtube.com/watch?v=fEvKo90qBns,~1h,EN,"Build-Measure-Learn, MVP and the pivot — the vocabulary the whole 15-mission arc uses."
,foundation,4,Course,How to Build a Startup (Steve Blank) — free,Udacity,https://www.udacity.com/course/how-to-build-a-startup--ep245,"8 lessons, free",EN,Customer Development end to end. Free and self-paced; maps almost 1:1 onto Missions 1-12.
,foundation,5,Article,Steve Blank — slides & videos archive,steveblank.com,https://steveblank.com/slides/,archive,EN,Primary source material for customer discovery; good for mentors preparing sessions.
,foundation,6,Course,"من فكرة إلى شركة: مقدمة في ريادة الأعمال (إدراك) — free, Arabic",Edraak / منحة,https://www.elmin7a.com/edraak-from-idea-to-company-introduction-to-entrepreneurship-course/,free course,AR,Free Arabic-language intro to entrepreneurship. Needed for the AR half of a bilingual platform.
,foundation,7,Course,دورات مجانية في ريادة الأعمال,Bakkah,https://bakkah.com/ar/knowledge-center/free-courses-in-entrepreneurship,index,AR,Arabic free-course index — a starting shelf for the AR Resources page.
,foundation,8,Data,MENA Venture Capital review & research library,MAGNiTT,https://magnitt.com/research/,reports,EN,Regional funding data. The credible source for MENA market-size and benchmark claims.
,foundation,9,Article,Wamda — MENA entrepreneurship platform,Wamda,https://www.wamda.com/,ongoing,EN/AR,"Regional ecosystem news, programmes and founder stories."
1,Problem Analysis,1,Article,How to get startup ideas — Jared Friedman,YC Startup Library,https://www.ycombinator.com/library/8g-how-to-get-startup-ideas,~30 min,EN,The canonical talk on finding a real problem instead of inventing one. Exactly Mission 1's job.
1,Problem Analysis,2,Video,Dr. Clay Christensen: When Only a Milkshake will do the Job (T),YouTube,https://www.youtube.com/watch?v=sXYm-CVzPQ0,short,EN,The milkshake story — the clearest 5 minutes ever recorded on 'what problem is this actually solving'.
1,Problem Analysis,3,Video,Clayton Christensen on job to be done (T),YouTube,https://www.youtube.com/watch?v=kGuSM3yUxik,short,EN,"Alternate, shorter cut of the JTBD explanation. Good as the in-mission embed."
1,Problem Analysis,4,Article,Customer Discovery: the search for product/market fit (2 minutes to see why),steveblank.com,https://steveblank.com/2014/06/28/customer-discovery-the-search-for-productmarket-fit-2-minutes-to-see-why/,2 min,EN,Short enough to put in the pre-mission briefing screen.
1,Problem Analysis,5,Guide,Outcome-Driven Innovation — Tony Ulwick,anthonyulwick.com,https://anthonyulwick.com/outcome-driven-innovation/,reference,EN,The theory behind the Importance/Frequency tooling the founder meets in Mission 3.
2,Problem Definition,1,Article,How to talk to users — Eric Migicovsky,YC Startup Library,https://www.ycombinator.com/library/6g-how-to-talk-to-users,~30 min,EN,The five questions to ask in an early customer interview. Mission 2 cannot be done well without this.
2,Problem Definition,2,Article,The Mom Test — official book site,momtestbook.com,https://www.momtestbook.com/,book,EN,The three rules that stop founders collecting compliments instead of facts.
2,Problem Definition,3,Video,#16 How to do customer interviews? — Rob Fitzpatrick (T),YouTube,https://www.youtube.com/watch?v=OBac5a8rDbY,interview,EN,The author explaining the method — cheaper than asking founders to read the book first.
2,Problem Definition,4,Video,EP 231: The Mom Test with Rob Fitzpatrick (T),YouTube,https://www.youtube.com/watch?v=S4eQ8m2RFaY,podcast,EN,Longer-form alternative for founders who prefer audio.
