tool_slug,tool_name,category,description,framework_reference,source_tab
income-statement-p-and-l,Income Statement (P&L),Financial Statements,Full monthly P&L with real expense breakdown,GAAP-style income statement,Financial Statements
cost-structure-and-budget,Cost Structure & Budget,Financial Statements,Full cost breakdown — COGS + OpEx by line item,Zero-based budgeting,Financial Statements
cash-flow-statement,Cash Flow Statement,Financial Statements,3-section monthly cash flow,Indirect-method statement of cash flows,Financial Statements
3-year-revenue-projection,3-Year Revenue Projection,Financial Statements,"Annual, multi-stream revenue build",Bottoms-up SaaS revenue build,Financial Statements
burn-rate-and-runway,Burn Rate & Runway,Financial Statements,Monthly cash discipline tracker,Startup burn-multiple & runway math,Financial Statements
break-even-analysis,Break-Even Analysis,Financial Statements,Unit economics of break-even,Cost-volume-profit (CVP) analysis,Financial Statements
scenario-model,Scenario Model,Financial Statements,Downside / Base / Upside,Scenario & sensitivity planning,Financial Statements
operating-budget-opex,Operating Budget / OpEx,Financial Statements,Annual budget by department,Departmental zero-based budget,Financial Statements
working-capital,Working Capital,Financial Statements,Cash conversion cycle,Working-capital & CCC analysis,Financial Statements
rolling-cash-forecast,Rolling Cash Forecast,Financial Statements,The standard 13-week cash view,13-week cash-flow forecast (CFO standard),Financial Statements
cap-table-dynamic-multi-round,"Cap Table — dynamic, multi-round",Cap Table & Deal Terms,"Incorporation through each round, every holder's % auto-updates",Standard priced-round cap table mechanics,Cap Table & Deal Terms
safe-conversion,SAFE Conversion,Cap Table & Deal Terms,What your SAFE turns into when the next round happens,YC post-money SAFE,Cap Table & Deal Terms
quick-dilution-what-if,Quick Dilution What-If,Cap Table & Deal Terms,Fast napkin-math dilution check,Priced-round dilution mechanics,Cap Table & Deal Terms
use-of-funds,Use of Funds,Cap Table & Deal Terms,Where the raise goes,Standard use-of-funds breakdown,Cap Table & Deal Terms
funding-ask,Funding Ask,Cap Table & Deal Terms,"The one-line ask, backed by the math",Fundraise sizing,Cap Table & Deal Terms
term-sheet-analyzer,Term Sheet Analyzer,Cap Table & Deal Terms,"Read the real terms, not just the headline valuation",NVCA model term sheet,Cap Table & Deal Terms
kpi-tracker-actual-vs-projected,KPI Tracker — Actual vs Projected,KPI Tracker,Fill actuals monthly; projected pulls live from the financial model,Plan-vs-actual variance tracking,KPI Tracker
pitch-narrative,Pitch Narrative,Fundraising & Investor,"The 7-beat story arc, in order",Narrative arc for investor pitches,Fundraising & Investor
fundraising-pipeline,Fundraising Pipeline,Fundraising & Investor,Your investor CRM,Fundraising pipeline management,Fundraising & Investor
fundability-scorecard,Fundability Scorecard,Fundraising & Investor,Weighted investor-readiness score,VC investment-criteria scoring,Fundraising & Investor
data-room-checklist,Data Room Checklist,Fundraising & Investor,What investors will ask for in diligence,VC due-diligence checklist,Fundraising & Investor
investor-update-delta,Investor Update Delta,Fundraising & Investor,"Month-over-month, ready to paste into your update",Monthly investor-update format (YC / a16z style),Fundraising & Investor
unit-economics,Unit Economics,Metrics & Growth Analytics,Per-unit profitability,Unit economics / contribution margin,Metrics & Growth Analytics
saas-metrics-dashboard,SaaS Metrics Dashboard,Metrics & Growth Analytics,Core SaaS metrics in one view,SaaS metrics (David Skok; Bessemer),Metrics & Growth Analytics
ltv-calculator,LTV Calculator,Metrics & Growth Analytics,Lifetime value,Customer Lifetime Value (LTV/CLV),Metrics & Growth Analytics
mrr-arr-tracker,MRR / ARR Tracker,Metrics & Growth Analytics,Track recurring revenue,Recurring revenue (MRR/ARR),Metrics & Growth Analytics
cohort-retention,Cohort Retention,Metrics & Growth Analytics,Retention by signup cohort,Cohort analysis,Metrics & Growth Analytics
retention-curve,Retention Curve,Metrics & Growth Analytics,See if retention flattens,Retention cohorts / curve,Metrics & Growth Analytics
magic-number,Magic Number,Metrics & Growth Analytics,Sales efficiency,SaaS Magic Number (Scale VP),Metrics & Growth Analytics
kpi-scorecard,KPI Scorecard,Metrics & Growth Analytics,Track KPI vs target,Balanced Scorecard (Kaplan & Norton),Metrics & Growth Analytics
cac-calculator,CAC Calculator,Metrics & Growth Analytics,Cost to acquire a customer,Customer Acquisition Cost (CAC),Metrics & Growth Analytics
ltv-cac-and-payback,LTV:CAC & Payback,Metrics & Growth Analytics,Efficiency of growth,LTV:CAC & CAC payback (David Skok),Metrics & Growth Analytics
churn-and-retention,Churn & Retention,Metrics & Growth Analytics,Measure stickiness,Churn & retention rate,Metrics & Growth Analytics
rule-of-40,Rule of 40,Metrics & Growth Analytics,Balance growth & profit,Rule of 40 (Feld; Bessemer),Metrics & Growth Analytics
growth-rate-and-cagr,Growth Rate & CAGR,Metrics & Growth Analytics,Quantify growth,CAGR — Compound Annual Growth Rate,Metrics & Growth Analytics
north-star-metric,North Star Metric,Metrics & Growth Analytics,One metric that matters,North Star Metric (Amplitude; Sean Ellis),Metrics & Growth Analytics
growth-accounting,Growth Accounting,Metrics & Growth Analytics,Decompose net growth into new/resurrected/churned,"Growth accounting (Jonathan Hsu, Social Capital)",Metrics & Growth Analytics
dau-mau-stickiness,DAU/MAU Stickiness,Metrics & Growth Analytics,Measure engagement frequency,DAU/MAU stickiness ratio,Metrics & Growth Analytics
nps,NPS,Metrics & Growth Analytics,Track customer love,"Net Promoter Score (Reichheld, Bain/HBR)",Metrics & Growth Analytics
customer-health-score,Customer Health Score,Metrics & Growth Analytics,Predict retention,Customer health score (Customer Success),Metrics & Growth Analytics
churn-by-segment,Churn by Segment,Metrics & Growth Analytics,Find where churn concentrates,Segmented churn analysis,Metrics & Growth Analytics
engagement-score,Engagement Score,Metrics & Growth Analytics,Quantify engagement,Product-engagement scoring,Metrics & Growth Analytics
feature-adoption,Feature Adoption,Metrics & Growth Analytics,Track feature uptake,Feature-adoption rate,Metrics & Growth Analytics
expansion-and-nrr,Expansion & NRR,Metrics & Growth Analytics,Grow existing accounts,Net Revenue Retention / expansion (Bessemer),Metrics & Growth Analytics
revenue-per-employee,Revenue per Employee,Metrics & Growth Analytics,Track productivity,Revenue per employee (productivity),Metrics & Growth Analytics
